Disease,Genes,id,did,Summary
Bloom syndrome,['BLM'],MESH:D001816,DOID:2717,"A syndrome characterized by sun sensitivity, short stature, predisposition to the development of cancer and genomic instability."
Boomerang dysplasia,['FLNB'],MESH:C536573,DOID:0050680,"An osteochondrodysplasia that is characterized by severe dwarfism, dislocated joints, club feet, distinctive facies and dysplastic tubular bones with boomerang-like bowing, has_material_basis_in heterozygous mutation in the FLNB gene on chromosome 3p14."
Borjeson-Forssman-Lehmann syndrome,['PHF6'],MESH:C536575,DOID:0050681,"An X-linked disease that is characterized by intellectual disability, truncal obesity, seizures, hypogonadism, developmental delay, distinctive facial features, tapered fingers and short toes and has_material_basis_in X-linked recessive inheritance of mutations in the PHF6 gene."
Bothnia retinal dystrophy,['RLBP1'],MESH:C564392,DOID:0050683,"A fundus dystrophy that is characterized by early onset of night blindness and decreased visual acuity that progresses to blindness in early adulthood, has_material_basis_in mutation in RLBP1 gene."
Boucher-Neuhauser syndrome,['PNPLA6'],MESH:C565850,DOID:0111265,"A syndrome characterized by spinocerebellar ataxia, hypogonadotropic hypogonadism, and chorioretinal dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in PNPLA6 on 19p13.2."
Bowen-Conradi syndrome,['EMG1'],MESH:C537081,DOID:0050684,"A syndrome that is characterized by growth delays, failure to thrive and malformations of the head and face that results in infantile death, has_material_basis_in homozygous mutation in the EMG1 gene on chromosome 12p13."
Brody myopathy,['ATP2A1'],MESH:C536607,DOID:0050692,A neuromuscular disease is characterized by difficulty relaxing muscles and muscle stiffness following exercise or other strenuous activity and is located in skeletal muscles.
Brugada syndrome 2,['GPD1L'],MESH:C567087,DOID:0110219,A Brugada syndrome that has_material_basis_in heterozygous mutation in the GPD1L gene on chromosome 3p22.
Brugada syndrome 3,['CACNA1C'],MESH:C567509,DOID:0110220,A Brugada syndrome that has_material_basis_in heterozygous mutation in the gene encoding the alpha-1C subunit of the L-type voltage-dependent calcium channel (CACNA1C) on chromosome 12p13.
Brugada syndrome 4,[],MESH:C567508,DOID:0110221,A Brugada syndrome that has_material_basis_in heterozygous mutation in the gene encoding the beta-2 subunit of the voltage-dependent L-type calcium channel (CACNB2) on chromosome 10p12.
Brugada syndrome 5,['SCN1B'],MESH:C567556,DOID:0110222,A Brugada syndrome that has_material_basis_in heterozygous mutation in the SCN1B gene on chromosome 19q13.
Brugada syndrome 6,['KCNE3'],MESH:C567735,DOID:0110223,A Brugada syndrome that has_material_basis_in heterozygous mutation in the KCNE3 gene on chromosome 11q13.
Brugada syndrome 7,['SCN3B'],MESH:C567734,DOID:0110224,A Brugada syndrome that has_material_basis_in heterozygous mutation in the SCN3B gene on chromosome 11q24.
Brugada syndrome 8,[],MESH:C567732,DOID:0110225,A Brugada syndrome that has_material_basis_in heterozygous mutation in the HCN4 gene on chromosome 15q24.
Brunner Syndrome,['MAOA'],MESH:C563156,DOID:0060693,"An amino acid metabolic disorder characterized by recessive X-linked inhetiance, impaired monoamine metabolism, impulsive aggressiveness and mild mental retardation that has_material_basis_in mutation in the MAOA gene on chromosome Xp11."
Budd-Chiari syndrome,"['F5', 'MTHFR', 'JAK2']",MESH:D006502,DOID:11512,"A hepatic vascular disease that is characterized by a spectrum of disease states, including anatomic abnormalities and hypercoagulable disorders, resulting in hepatic venous outflow occlusion."
Burkitt lymphoma,"['CALR', 'CD40', 'BTK', 'CD79B']",MESH:D002051,DOID:8584,A mature B-cell neoplasm of B-cells found in the germinal center.
Burn-McKeown syndrome,['TXNL4A'],MESH:C537411,DOID:0080695,"A syndrome that is characterized by bilateral choanal atresia, cranio-facial dysmorphism, \nhearing loss, heart abnormalities, and short stature."
Buruli ulcer disease,['SLC11A1'],MESH:D054312,DOID:0050456,"A primary bacterial infectious disease that results_in infection located_in skin or located_in subcutaneous tissue, has_material_basis_in Mycobacterium ulcerans, which could be transmitted_by insects. The bacterium produces a toxin, named mycolactone, which causes subcutaneous fat necrosis and inhibits an immune response. The infection has_symptom nodule, which is a painless, mobile swelling in the skin."
Buschke-Ollendorff syndrome,['LEMD3'],MESH:C537415,DOID:0111536,A syndrome characterized by multiple subcutaneous nevi or nodules and osteopoikilosis that has_material_basis_in heterozygous mutation in the LEMD3 gene on chromosome 12q14.3.
C syndrome,[],MESH:C537418,DOID:0111581,"A syndrome characterized by trigonocephaly, psychomotor retardation, hypotonia, variable cardiac defects, redundant skin, and dysmorphic facial features that has_material_basis_in heterozygous mutation in the CD96 gene on chromosome 3q13.1-q13.2."
CADASIL,['HTRA1'],MESH:D046589,DOID:13945,A leukodystrophy characterized by recurrent subcortical ischemic stroke and cognitive impairment.
CAKUT,"['HSPA1B', 'BMP4', 'NRIP1']",MESH:C566906,DOID:0080205,A urinary system disease characterized by structural malformations in the kidney and/or urinary tract containing vesicoureteral reflux.
CEDNIK syndrome,['SNAP29'],MESH:C537943,DOID:0060337,"A syndrome that has_material_basis_in homozygous mutation in the SNAP29 gene and characterized by a unique constellation of clinical manifestations including microcephaly, severe neurologic impairment, psychomotor retardation, failure to thrive, facial dysmoprhism, palmoplantar keratoderma and late-onset ichthyosis."
CHARGE syndrome,['CHD7'],MESH:D058747,DOID:0050834,"A syndrome that is characterized by a pattern of congenital anomalies including choanal atresia and malformations of the heart, inner ear, and retina."
CHILD syndrome,['NSDHL'],MESH:C562515,DOID:0111822,"A syndrome characterized by congenital hemidysplasia, ichythyosiform erythrodema, and limb defects that has_material_basis_in heterozygous mutation in the NSDHL gene on chromosome Xq28."
CHIME syndrome,['PIGL'],MESH:C536729,DOID:0112152,"A syndrome characterized by colobomas, congenital heart defects, migratory ichthyosiform dermatosis, intellectual disability, and ear anomalies that has_material_basis_in homozygous or compound heterozygous mutation in the PIGL gene on chromosome 17p11.2."
COACH syndrome,['TMEM67'],MESH:C536430,DOID:0111589,"A syndrome characterized by autosomal recessive inheritance of cerebellar vermis hypo/aplasia, oligophrenia, ataxia, ocular coloboma, and hepatic fibrosis that has_material_basis_in homozygous or compound heterozygous mutation in one of 3 genes (TMEM67, CC2D2A, RPGRIP1L)."
CODAS syndrome,['LONP1'],MESH:C536434,DOID:0111274,"A syndrome characterized by developmental delay, and cerebral, ocular, dental, auricular, and skeletal anomalies that has_material_basis_in homozygous or compound heterozygous mutation in LONP1 on 19p13.3."
COVID-19,"['SERPING1', 'F3', 'PLG', 'HLA-B', 'ACE', 'IFNB1', 'TLR7', 'IFNL1', 'C4BPA', 'ABO', 'A2M', 'KIR3DS1', 'ACE2', 'GSTT1', 'HLA-C', 'C4BPB', 'AGTR1', 'IFITM3', 'SERPINF2', 'C3']",MESH:D000086382,DOID:0080600,"A Coronavirus infectious disease that is characterized by fever, cough and shortness of breath and that has_material_basis_in SARS-CoV-2."
CREST syndrome,"['CENPC', 'FBN1']",MESH:D017675,DOID:0060218,"A syndrome characterized by calcinosis, Raynaud's phenomeno, esophageal dysmotility, sclerodactyly and telangiectasia."
Caffey disease,['COL1A1'],MESH:D006958,DOID:4257,"A bone inflammation disease that causes bone changes, soft tissue swelling and irritability in infants. The disease has been associated with COL1A1 gene. It has symptom soft-tissue swelling, has symptom bone lesions, and has symptom irritability."
Camurati-Engelmann disease,['TGFB1'],MESH:D003966,DOID:4997,An osteosclerosis that has_material_basis_in mutations in the TGFB1 gene which results_in increased bone density located_in long bone.
Canavan disease,['ASPA'],MESH:D017825,DOID:3613,"A leukodystrophy characterized by onset in early infancy, atonia of neck muscles, hypotonia, hyperextension of legs and flexion of arms, blindness, severe mental defect, megalocephaly, and death by 18 months on the average that has_material_basis_in homozygous or compound heterozygous mutation in ASPA gene encoding aspartoacylase on chromosome 17p13."
Carney complex,['PRKAR1A'],MESH:D056733,DOID:0050471,"A syndrome characterized by myxomas, spotty pigmentation of the skin and endocrine overactivity."
Carney-Stratakis syndrome,"['SDHB', 'SDHD', 'SDHC']",MESH:C564650,DOID:0080533,A syndrome that is characterized by the presence of multicentric paragangliomas and multifocal gastrointestinal stromal sarcoma tumors.
Caroli disease,['WDR19'],MESH:D016767,DOID:0050876,A bile duct disease that is characterized by abnormal dilatation of the intrahepatic bile ducts.
Carpenter syndrome,['RAB23'],MESH:C563187,DOID:0060234,"An acrocephalosyndactylia characterized by craniosynostosis, acrocephaly, obesity, syndactyly and polydactyly."
Carvajal syndrome,['DSP'],MESH:C535581,DOID:0090128,"A Naxos disease that is characterized by dilated cardiomyopathy, woolly hair, and keratoderma that has_material_basis_in homozygous mutation in the desmoplakin gene on chromosome 6p24."
Catel Manzke syndrome,['TGDS'],MESH:C535347,DOID:0081122,"A bone disease that is characterized by the Pierre Robin anomaly, which comprises cleft palate, glossoptosis, and micrognathia, and a unique form of bilateral hyperphalangy in which there is an accessory bone inserted between the second metacarpal and its corresponding proximal phalanx, resulting in radial deviation of the index finger and that has_material_basis_in homozygous or compound heterozygous mutation in the TGDS gene on chromosome 13q32."
Cayman type cerebellar ataxia,['ATCAY'],MESH:C563363,DOID:0060694,"An autosomal recessive cerebellar ataxia characterized by marked autosomal recessive inheritance, psychomotor retardation, cerebellar dysfunction including nystagmus, intention tremor, dysarthria, and wide-based ataxic gait, hypotonia and the absence of retinal abnormalities that has_material_basis_in mutation in the ATCAY gene on chromosome 19p13.3."
Chagas disease,"['HLA-DRB1', 'CHRM2', 'SOAT1', 'HSPA4']",MESH:D014355,DOID:12140,"A trypanosomiasis that is a tropical parasitic disease caused by the flagellate protozoan Trypanosoma cruzi, which is transmitted to humans and other mammals by an insect vector, the blood-sucking assassin bugs of the subfamily Triatominae (family Reduviidae), most commonly species belonging to the Triatoma, Rhodnius, and Panstrongylus genera. The symptoms include fever, fatigue, body aches, headache, rash, loss of appetite, diarrhea, vomiting, swelling of the eyelids and myocarditis."
Char syndrome,['TFAP2B'],MESH:C566815,DOID:0060563,A patent ductus arteriosus with facial dysmorphism and abnormal fifth digits.
Charcot-Marie-Tooth disease,"['POLR3B', 'FBLN5', 'NRG1', 'NEFL', 'PMP22', 'ITPR3', 'SLC12A6', 'GDAP1', 'JAG1', 'MFN2', 'CADM3']",MESH:D002607,DOID:10595,"A neuromuscular disease that is characterized by a slowly progressive degeneration of the muscles of the foot, lower leg, hand and forearm."
Charcot-Marie-Tooth disease dominant intermediate A,['GBF1'],MESH:C564702,DOID:0110202,A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in variation in the region 10q24.1-q25.1.
Charcot-Marie-Tooth disease dominant intermediate B,['DNM2'],MESH:C564703,DOID:0110197,A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in mutation in the gene encoding dynamin-2 (DNM2).
Charcot-Marie-Tooth disease dominant intermediate C,['YARS1'],MESH:C564257,DOID:0110199,A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in heterozygous mutation in the YARS gene on chromosome 1p35.
Charcot-Marie-Tooth disease dominant intermediate D,[],MESH:C564333,DOID:0110200,A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in heterozygous mutation in the myelin protein-zero gene (MPZ) on chromosome 1q23.
Charcot-Marie-Tooth disease recessive intermediate A,['GDAP1'],MESH:C564256,DOID:0110201,A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in homozygous mutation in the GDAP1 gene on chromosome 8q21.
Charcot-Marie-Tooth disease type 1C,['LITAF'],MESH:C537984,DOID:0110151,A Charcot-Marie-Tooth disease type 1 that has_material_basis_in heterozygous mutation in the LITAF gene on chromosome 16p13.
Charcot-Marie-Tooth disease type 1D,['EGR2'],MESH:C537985,DOID:0110150,A Charcot-Marie-Tooth disease type 1 that has_material_basis_in mutation in the early growth response gene-2 (EGR2).
Charcot-Marie-Tooth disease type 2B,['RAB7A'],MESH:C537989,DOID:0110159,A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the RAB7 gene on chromosome 3q21.
